#
#  conversion from RegDef.txt for
#   input design        = fw
#   input design level  = 2
#

SECTION BITS

#design    dlevel   dir  reg_name                                           field_name                                                   format  ext_addr   rw           startbit  numbits  scope      rlm_name                                           clk_type  scanring  reset_val                                                              reset_sig  parity  pulse  reg_name_txt                                       description                                                                                        
#========= ======== ==== ================================================== ============================================================ ======= ========== ============ ========= ======== ========== ================================================== ========= ========= ====================================================================== ========== ======= ====== ================================================== =================================================================================================== 
fw         2        rx   rx_ppe_fw_cntl1_pg                                 ext_cmd_lanes_rx_00_15                                       gcr     000000000  RWX          0         16       per-group  "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    yes     na     Register                                           "External Command RX Lane Mask 00 to 15"                                                            
fw         2        rx   rx_ppe_fw_cntl2_pg                                 ext_cmd_lanes_rx_16_31                                       gcr     000000001  RWX          0         16       per-group  "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    yes     na     Register                                           "External Command RX Lane Mask 16 to 31"                                                            
fw         2        rx   rx_ppe_fw_cntl3_pg                                 ext_cmd_lanes_tx_00_15                                       gcr     000000010  RWX          0         16       per-group  "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    yes     na     Register                                           "External Command TX Lane Mask 00 to 15"                                                            
fw         2        rx   rx_ppe_fw_cntl4_pg                                 ext_cmd_lanes_tx_16_31                                       gcr     000000011  RWX          0         16       per-group  "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    yes     na     Register                                           "External Command TX Lane Mask 16 to 31"                                                            
fw_alias   2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_00_15                                            gcr     000000100  RWX          0         16       per-group  "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    yes     na     Register                                           "External Command Request (0:15)"                                                                   
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_hw_reg_init_pg                                   gcr     000000100  RWX          0         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - HW Register Initialization"                                             
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_ioreset_pl                                       gcr     000000100  RWX          1         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - I/O Reset"                                                              
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_rx_detect_pl                                     gcr     000000100  RWX          2         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Rx Detect (TX TDR detect of receiver on other end)"                     
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_dccal_pl                                         gcr     000000100  RWX          3         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - DC Calibration"                                                         
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_tx_zcal_pl                                       gcr     000000100  RWX          4         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Tx Zcal"                                                                
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_tx_ffe_pl                                        gcr     000000100  RWX          5         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Tx FFE"                                                                 
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_power_off_pl                                     gcr     000000100  RWX          6         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Power Off"                                                              
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_power_on_pl                                      gcr     000000100  RWX          7         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Power On"                                                               
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_tx_fifo_init_pl                                  gcr     000000100  RWX          8         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Tx Fifo Init"                                                           
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_rx_bist_tests_pl                                 gcr     000000100  RWX          9         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Rx Bist Tests"                                                          
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_tx_bist_tests_pl                                 gcr     000000100  RWX          10        1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Tx Bist Tests"                                                          
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_train_pl                                         gcr     000000100  RWX          11        1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Train"                                                                  
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_recal_pl                                         gcr     000000100  RWX          12        1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Recal"                                                                  
fw         2        rx   rx_ppe_fw_cntl5_pg                                 ext_cmd_req_bist_final_pl                                    gcr     000000100  RWX          13        1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - BIST Final (Link Layer/Pr Test/Reporting))"                             
fw_alias   2        rx   rx_ppe_fw_cntl6_pg                                 ext_cmd_req_16_31                                            gcr     000000101  RWX          0         16       per-group  "dummy_vhdl"                                       slow      func      0000000000000000                                                       ioreset    yes     na     Register                                           "External Command Request (16:31)"                                                                  
fw         2        rx   rx_ppe_fw_cntl6_pg                                 ext_cmd_req_lab_code_pl                                      gcr     000000101  RWX          0         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Lab Code (Per-Lane)"                                                    
fw         2        rx   rx_ppe_fw_cntl6_pg                                 ext_cmd_req_lab_code_pg                                      gcr     000000101  RWX          1         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "External Command Request - Lab Code (Per-Group)"                                                   
fw         2        rx   rx_ppe_fw_mode1_pg                                 fw_gcr_bus_id                                                gcr     000000110  RWX          0         6        per-group  "dummy_vhdl"                                       slow      func      000000                                                                 ioreset    yes     na     Register                                           "This field is used to programmably set the bus number that a clkgrp belongs to."                   
fw         2        rx   rx_ppe_fw_mode1_pg                                 fw_serdes_16_to_1_mode                                       gcr     000000110  RWX          6         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "This field is used to programmably indicate if the chiplet serviced by the PPE thread is operating in 16:1 SerDes (1) or 8:1 SerDes (0) mode"
fw         2        rx   rx_ppe_fw_mode1_pg                                 fw_spread_en                                                 gcr     000000110  RWX          7         1        per-group  "dummy_vhdl"                                       slow      func      0                                                                      ioreset    yes     na     Register                                           "This field is used to programmably indicate if the chiplet serviced by the PPE thread has spread spectrum clocking (SSC) enabled (1=SSC enabled, 0=SSC disabled)"
