#
#  conversion from RegDef.txt for
#   input design        = ppe
#   input design level  = 2
#

SECTION BITS

#design    dlevel   dir  reg_name                                           field_name                                                   format  ext_addr   rw           startbit  numbits  scope      rlm_name                                           clk_type  scanring  reset_val                                                              reset_sig  parity  pulse  reg_name_txt                                       description                                                                                        
#========= ======== ==== ================================================== ============================================================ ======= ========== ============ ========= ======== ========== ================================================== ========= ========= ====================================================================== ========== ======= ====== ================================================== =================================================================================================== 
ppe        2        rx   rx_ppe_stat1_pl                                    rx_init_done                                                 gcr     000000000  ROX          0         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Initial training complete on given lane"                                                           
ppe        2        rx   rx_ppe_stat1_pl                                    rx_dccal_done                                                gcr     000000000  ROX          1         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "On-die DC training complete on given lane"                                                         
ppe        2        rx   rx_ppe_stat1_pl                                    rx_lane_busy                                                 gcr     000000000  ROX          2         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "State machine busy indicator on given lane"                                                        
ppe        2        rx   rx_ppe_stat1_pl                                    rx_recal_done                                                gcr     000000000  ROX          3         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Recalibration done on given lane"                                                                  
ppe        2        rx   rx_ppe_stat1_pl                                    rx_min_recal_cnt_reached                                     gcr     000000000  ROX          4         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Reached the min_recal_cnt on this lane"                                                            
ppe        2        rx   rx_ppe_stat1_pl                                    rx_recal_before_init                                         gcr     000000000  ROX          5         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "This bit gets set if a recal request is on lane before init_done is set"                           
ppe        2        rx   rx_ppe_stat1_pl                                    rx_cmd_init_done                                             gcr     000000000  ROX          6         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "This bit gets set if a recal request is on lane before init_done is set"                           
ppe        2        rx   rx_ppe_stat1_pl                                    rx_eo_vga_ctle_loop_not_converged                            gcr     000000000  ROX          7         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Indicates that the VGA-CTLE loop did not converge in INIT"                                         
ppe        2        rx   rx_ppe_stat1_pl                                    rx_a_bad_dfe_conv                                            gcr     000000000  ROX          8         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Eye opt Step failed DFE convergence on Bank A--not less than rx_ap110_ap010_delta_max \n0: Converged \n1: Not converged"
ppe        2        rx   rx_ppe_stat1_pl                                    rx_loff_ad_n000_valid                                        gcr     000000000  ROX          9         1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "Indicates that rx_loff_ad_n00 has a valid value."                                                  
ppe        2        rx   rx_ppe_stat1_pl                                    rx_ddc_small_eye_warning                                     gcr     000000000  ROX          11        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "DDC behavior is likely unstable because the measured eye has too little margin between the center and the edge. This dampens the ability to reliably measure an edge without introducing false errors that artificially indicate one and further decrease the eye."
ppe        2        rx   rx_ppe_stat1_pl                                    rx_ddc_measure_limited                                       gcr     000000000  ROX          12        1        per-lane   "dummy_vhdl"                                       slow      func      0                                                                      ioreset    no      na     Register                                           "DDC measure ended early without finding either left or right fuzz due to an eye shape / sample which was farther than the available mini-phase-rotator steps allowed it to search. The result is a skewed centering calculation. \n0: Normal result \n1: Limited accuracy result"
